94.0,75.0,8.9,997.0
81.0,88.0,8.5,1184.0
77.0,61.0,7.9,471.0
97.0,34.0,7.5,298.0
86.0,19.0,8.9,33.0
94.0,90.0,8.7,1109.0
82.0,36.0,9.1,137.0
56.0,37.0,8.3,31.0
86.0,70.0,8.1,715.0
87.0,64.0,9.0,766.0
93.0,83.0,9.0,1607.0
89.0,95.0,6.5,2423.0
79.0,10.0,7.3,6.0
91.0,70.0,8.9,1122.0
91.0,68.0,9.3,955.0
80.0,39.0,7.5,613.0
88.0,39.0,6.2,1749.0
84.0,41.0,4.2,435.0
85.0,59.0,8.7,109.0
80.0,32.0,7.8,47.0
80.0,32.0,7.5,22.0
80.0,67.0,7.1,120.0
80.0,77.0,7.2,564.0
94.0,61.0,7.3,330.0
95.0,25.0,7.7,65.0
96.0,24.0,9.1,3161.0
91.0,46.0,7.9,785.0
88.0,31.0,8.4,809.0
93.0,70.0,8.9,709.0
84.0,81.0,8.1,769.0
90.0,66.0,8.3,381.0
56.0,27.0,6.0,44.0
80.0,80.0,6.3,2996.0
85.0,25.0,8.5,117.0
85.0,83.0,7.7,1653.0
89.0,76.0,8.6,681.0
92.0,79.0,9.2,10179.0
70.0,40.0,4.9,2050.0
87.0,89.0,7.6,2679.0
93.0,81.0,8.0,1958.0
90.0,57.0,8.0,910.0
84.0,65.0,8.8,72.0
81.0,27.0,8.7,39.0
90.0,38.0,8.7,121.0
86.0,80.0,8.7,348.0
94.0,32.0,8.1,9073.0
87.0,51.0,6.7,364.0
88.0,62.0,8.6,229.0
84.0,9.0,7.4,220.0
91.0,26.0,9.1,38.0
76.0,64.0,7.9,104.0
78.0,49.0,3.7,1564.0
59.0,22.0,4.0,4.0
80.0,64.0,7.0,2219.0
68.0,33.0,6.9,39.0
77.0,60.0,7.5,66.0
79.0,21.0,8.0,29.0
64.0,11.0,7.5,41.0
85.0,56.0,7.9,417.0
91.0,15.0,8.8,207.0
88.0,36.0,8.1,840.0
81.0,27.0,7.6,56.0
94.0,27.0,8.5,128.0
67.0,15.0,7.3,13.0
74.0,34.0,8.4,31.0
82.0,42.0,7.9,82.0
90.0,35.0,8.7,312.0
82.0,10.0,7.9,38.0
96.0,38.0,8.9,1013.0
86.0,18.0,7.6,71.0
91.0,56.0,7.6,203.0
82.0,36.0,8.7,142.0
64.0,23.0,7.7,32.0
78.0,34.0,8.5,161.0
85.0,18.0,6.9,1580.0
84.0,30.0,9.0,268.0
70.0,39.0,8.0,9.0
78.0,49.0,7.8,112.0
72.0,49.0,6.8,88.0
72.0,27.0,7.9,48.0
88.0,66.0,7.5,155.0
89.0,67.0,7.9,1309.0
72.0,59.0,4.1,1005.0
83.0,91.0,7.5,523.0
89.0,81.0,8.3,693.0
80.0,14.0,5.8,579.0
92.0,78.0,8.7,1080.0
79.0,21.0,5.6,542.0
88.0,75.0,8.6,869.0
71.0,70.0,8.8,29.0
83.0,30.0,8.4,28.0
84.0,83.0,8.2,715.0
79.0,23.0,8.3,126.0
70.0,15.0,8.0,67.0
93.0,86.0,8.2,3943.0
80.0,50.0,8.9,106.0
88.0,15.0,6.7,35.0
91.0,86.0,8.4,657.0
68.0,12.0,8.2,99.0
76.0,86.0,6.8,1319.0
76.0,49.0,7.9,75.0
75.0,11.0,5.5,1735.0
90.0,32.0,8.5,1041.0
77.0,20.0,8.5,66.0
60.0,34.0,7.2,82.0
87.0,75.0,7.8,228.0
80.0,21.0,8.5,86.0
86.0,35.0,7.9,701.0
85.0,31.0,8.7,105.0
82.0,74.0,7.5,563.0
77.0,39.0,8.0,94.0
86.0,62.0,9.2,111.0
84.0,45.0,4.4,459.0
63.0,43.0,4.6,116.0
83.0,37.0,5.9,180.0
81.0,81.0,7.7,758.0
85.0,69.0,7.2,1267.0
88.0,85.0,8.7,691.0
91.0,79.0,8.6,565.0
62.0,30.0,8.1,137.0
83.0,67.0,8.0,463.0
82.0,63.0,7.6,85.0
89.0,78.0,7.7,1010.0
89.0,22.0,9.1,95.0
87.0,42.0,8.9,137.0
83.0,12.0,6.5,36.0
87.0,19.0,9.0,107.0
73.0,45.0,6.8,155.0
82.0,43.0,8.5,101.0
83.0,48.0,9.0,63.0
82.0,57.0,7.8,492.0
81.0,12.0,7.8,10.0
93.0,45.0,8.0,604.0
91.0,81.0,8.9,1057.0
74.0,34.0,5.4,1304.0
96.0,98.0,8.9,3143.0
67.0,28.0,7.9,71.0
94.0,23.0,7.9,46.0
75.0,18.0,7.8,22.0
66.0,60.0,6.9,106.0
70.0,74.0,3.9,2057.0
89.0,59.0,8.2,892.0
72.0,16.0,8.0,16.0
75.0,42.0,7.4,32.0
93.0,74.0,5.8,3725.0
87.0,107.0,7.7,2759.0
81.0,75.0,8.1,307.0
93.0,46.0,8.5,121.0
87.0,26.0,6.3,616.0
91.0,94.0,8.1,1505.0
91.0,39.0,8.6,1247.0
73.0,78.0,7.0,131.0
88.0,41.0,7.2,131.0
73.0,24.0,9.2,173.0
82.0,23.0,6.6,20.0
93.0,24.0,9.1,65.0
94.0,37.0,8.5,466.0
85.0,73.0,5.9,2748.0
84.0,85.0,8.1,1886.0
64.0,29.0,7.8,94.0
85.0,19.0,7.8,78.0
86.0,68.0,6.4,2658.0
88.0,59.0,8.5,572.0
87.0,42.0,9.0,93.0
79.0,13.0,7.8,4.0
93.0,77.0,7.3,292.0
85.0,98.0,8.3,1172.0
76.0,40.0,8.8,76.0
78.0,7.0,4.3,700.0
91.0,74.0,8.7,1692.0
73.0,21.0,8.6,30.0
93.0,28.0,9.0,45.0
67.0,45.0,6.8,18.0
85.0,30.0,8.9,16.0
61.0,37.0,5.3,23.0
76.0,49.0,7.7,69.0
83.0,61.0,7.4,179.0
81.0,36.0,5.8,179.0
87.0,34.0,8.7,111.0
83.0,29.0,7.8,1530.0
84.0,60.0,8.4,494.0
85.0,58.0,6.1,90.0
96.0,88.0,8.9,2249.0
97.0,70.0,9.3,747.0
90.0,59.0,8.2,791.0
75.0,56.0,7.5,286.0
80.0,90.0,7.9,2944.0
89.0,22.0,8.6,39.0
87.0,47.0,8.2,241.0
89.0,59.0,7.2,301.0
81.0,11.0,5.6,31.0
89.0,61.0,7.5,4926.0
83.0,81.0,7.7,836.0
83.0,33.0,7.7,46.0
84.0,85.0,7.9,942.0
73.0,74.0,6.7,389.0
81.0,42.0,7.4,67.0
84.0,70.0,7.6,490.0
79.0,63.0,7.4,211.0
69.0,44.0,6.6,174.0
95.0,30.0,9.1,314.0
86.0,23.0,8.2,56.0
89.0,83.0,7.8,893.0
82.0,71.0,6.5,233.0
78.0,55.0,5.9,94.0
84.0,32.0,9.0,41.0
73.0,88.0,6.8,2102.0
84.0,47.0,5.7,120.0
93.0,52.0,9.1,271.0
79.0,51.0,7.7,18.0
83.0,58.0,8.7,52.0
77.0,39.0,8.2,69.0
92.0,17.0,8.6,80.0
85.0,87.0,8.5,268.0
85.0,67.0,6.3,171.0
84.0,50.0,5.5,201.0
89.0,24.0,7.7,102.0
84.0,55.0,6.9,113.0
71.0,24.0,7.9,47.0
79.0,53.0,6.6,707.0
78.0,18.0,7.8,21.0
80.0,65.0,8.0,127.0
90.0,37.0,8.2,84.0
82.0,92.0,7.2,454.0
90.0,42.0,7.7,134.0
90.0,63.0,7.5,133.0
74.0,71.0,6.7,288.0
71.0,16.0,7.6,49.0
91.0,50.0,8.7,529.0
84.0,21.0,8.1,44.0
79.0,47.0,8.0,124.0
87.0,42.0,7.5,108.0
73.0,4.0,7.7,7.0
80.0,27.0,8.6,57.0
80.0,24.0,7.4,114.0
78.0,11.0,7.8,17.0
72.0,38.0,8.7,83.0
73.0,28.0,8.3,179.0
83.0,22.0,5.5,101.0
86.0,68.0,7.9,725.0
73.0,37.0,8.0,89.0
87.0,68.0,7.8,98.0
83.0,50.0,7.0,125.0
80.0,15.0,7.9,46.0
75.0,15.0,8.0,5.0
87.0,23.0,4.9,150.0
78.0,8.0,7.0,20.0
50.0,23.0,5.4,16.0
82.0,68.0,7.5,120.0
79.0,31.0,8.8,96.0
25.0,8.0,4.3,26.0
92.0,100.0,8.6,6383.0
70.0,26.0,7.4,74.0
85.0,55.0,7.7,83.0
90.0,26.0,8.0,99.0
82.0,50.0,7.7,384.0
87.0,79.0,6.1,1889.0
83.0,50.0,7.0,291.0
83.0,12.0,8.2,190.0
82.0,50.0,8.2,100.0
81.0,26.0,8.4,42.0
79.0,13.0,8.0,34.0
78.0,17.0,3.1,290.0
84.0,23.0,6.1,124.0
82.0,66.0,7.8,176.0
73.0,14.0,7.9,39.0
66.0,28.0,8.2,92.0
77.0,40.0,6.8,85.0
82.0,16.0,8.4,53.0
62.0,11.0,6.2,34.0
