Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,EA Black Box,E
Just Dance,Wii,2009.0,Misc,Ubisoft,Ubisoft Paris,E10+
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,EA DICE,M
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,Namco,T
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,Nintendo,T
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,Naughty Dog,E
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,Nintendo,E
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,HAL Labs,T
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,EA Canada,E
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,EA LA,T
Just Dance 4,Wii,2012.0,Misc,Ubisoft,Ubisoft,E10+
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,Epic Games,M
Uncharted 3: Drakes Deception,PS3,2011.0,Action,Sony Computer Entertainment,Naughty Dog,T
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,Infinity Ward,M
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,Naughty Dog,T
Big Brain Academy,DS,2005.0,Misc,Nintendo,Nintendo,E
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,Rockstar San Diego,M
FIFA 14,PS3,2013.0,Sports,Electronic Arts,EA Canada,E
Assassins Creed III,PS3,2012.0,Action,Ubisoft,Ubisoft,M
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,Retro Studios,E
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,Bungie Software,M
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,Game Freak,E
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,SquareSoft,E
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",M
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,Rockstar San Diego,M
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,Nintendo,E
World of Warcraft,PC,2004.0,Role-Playing,Activision,Blizzard Entertainment,T
Driver,PS,1999.0,Action,GT Interactive,Reflections Interactive,T
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,Epic Games,M
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,Rare Ltd.,E10+
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,Epic Games,M
FIFA 15,PS4,2014.0,Sports,Electronic Arts,EA Sports,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,KCEJ,M
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,KCEJ,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,Kojima Productions,M
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,Square Enix,T
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,Naughty Dog,M
LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,"SCE/WWS, Media Molecule",E
Resident Evil 2,PS,1998.0,Action,Virgin Interactive,Capcom,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,Level 5,E10+
Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,Namco,T
Destiny,PS4,2014.0,Shooter,Activision,"Bungie Software, Bungie",T
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,Travellers Tales,E10+
Cooking Mama,DS,2006.0,Simulation,505 Games,Taito Corporation,E
Assassins Creed II,PS3,2009.0,Action,Ubisoft,Ubisoft Montreal,M
Assassins Creed,X360,2007.0,Adventure,Ubisoft,Ubisoft Montreal,M
Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,Turn 10,E
Super Mario Advance,GBA,2001.0,Platform,Nintendo,Nintendo,E
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,Capcom,T
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,T
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,Rockstar North,M
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,Intelligent Systems,E
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,Travellers Tales,E
Call of Duty: World at War,PS3,2008.0,Shooter,Activision,Treyarch,M
Uncharted 4: A Thiefs End,PS4,2016.0,Shooter,Sony Computer Entertainment,Naughty Dog,T
Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,Square Enix,T
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,SquareSoft,T
Assassins Creed III,X360,2012.0,Action,Ubisoft,Ubisoft,M
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,SquareSoft,T
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,Sledgehammer Games,M
Assassins Creed II,X360,2009.0,Action,Ubisoft,Ubisoft Montreal,M
New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,Nintendo,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,Level 5,T
Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,Level 5,E
FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,Electronic Arts,E
